That’s a wrap. #SpotifyWrapped,2021-12-02 15:49:00,What about red and blue by B double E Still my go to game day jam!,Very creative!,Pamela Crawford I like that last song! 😉,Amy Jo Herrera the Crunchy Chicken Cheddar Wrap 🤣,Crimson (Taylor’s Version) 😂😂🤣😂😁😂🤣 that’s funny s***,Joseph David,This is great 👏👏,Someone at KU is being very creative.,Grant Laws Stewart,Bravo to the SMM 🤣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU researcher Rene Martin wanted to get better at illustrating fish. So::: in 2016::: she merged her skills as an artist and fish biologist to create the #SundayFishSketch community on Twitter. The hashtag now reaches close to 100:::000 Twitter users each week and inspires other biologists and artists to share works of their own.  RESEARCH.KU.EDU KU biologist fosters online community of fish scientists::: artists,2021-08-09 18:32:01,Kelsey Hoag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🎶 Far above the golden valley ... 🎶 *Passes mic.* Jayhawks::: can you fill in the rest?,2021-08-09 15:14:03,Bonus if you know all three verses 😃,I could::: but ...my singing sounds like the plaintive::: agonized wail of a hungover water buffalo.,Yes!,https:// www.youtube.com/ watch?v=h51be27d N8c,glorious to view,Beautiful view.,..  ....glorious to view.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU Alzheimer’s Disease Center researchers are seeking out more diverse research participants — especially more African Americans::: who are twice as likely to develop the disease — to make sure new treatments and medications work for everyone.  KUMC.EDU Dementia researchers issue urgent call for more diversity in clinical trial participation,2021-08-06 19:12:02,🙂🙂🙂🙂🙂🙂🙂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chi Omega Fountain? More like Chi Oh My Gosh Fountain 😍,2021-08-06 15:00:50,Loved that fountain. I remember taking an unplanned dip in it one evening. 😁,I remember a friend of mine was delivering pizzas and totaled his car running int this lovely fountain.,My daughter danced in that August of 2016!! Chi O for life!,Nice shot!,loving this,It is a very visible fountain on the KU Campus.,Needs dolphins.,Chloe !! It’s like a sign. Christian Kelly !!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChangHwan Kim::: a KU sociology professor::: tells Science News magazine that Asian Americans as a group tend to be invisible in public and scientific discourse — but a recent surge in violence against them shows how little is known about their needs.  SCIENCENEWS.ORG How science overlooks Asian Americans,2021-08-05 16:41:01,I wish KU would display a placard saying 'We are not political'.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To help women being released from incarceration to more easily rejoin society and find jobs::: KU’s Center for Digital Inclusion is building a program that provides those women with digital literacy skills and access to technology.  NEWS.KU.EDU Reducing recidivism through digital literacy,2021-08-04 19:09:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
🌅 We woke up like this.  📷: It’s no surprise that Earl Richardson is a pro at snapping Mount Oread’s best angles. Not only is he a commercial photographer::: but he and his family are also lifelong Jayhawks. Rock Chalk::: Earl!,2021-08-04 14:22:01,Earl Richardson is a great photographer. My profile pic is a wet plate photograph that he did for me a couple of years ago.,Had Western Civ classes there when the building was brand new….,ROCK CHALK J-HAWK,👍,Love that KU!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The overwhelming majority of KU’s 2020 law graduates — 93.1% — found jobs within 10 months of graduation. That puts The University of Kansas School of Law’s overall employment among the top quarter of law schools accredited by the American Bar Association. Rock Chalk!  NEWS.KU.EDU KU Law reports graduate employment over 90% for 7th consecutive year,2021-08-03 18:25:13,Rock Chalk lawyers!!,Go Heather Slack-Spielmake r!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Bezos relied on a Jayhawk to help launch his Blue Origin’s New Shepard rocket into space. The launch project's senior manager was Laura Stiles::: who earned an engineering physics degree from KU in 2008.  SHAWNEEMISSIONPOST.COM Meet the SM East alum who played key role in successful launch of Jeff Bezos-funded Blue Origin rocket,2021-08-03 15:00:46,I know another KU alum who works on this team::: a graduate of industrial design in the School of Fine Arts!!,RCJH❤️💙🤙🏼,Way to go::: Laura! ❤️💙,So amazing Laura Stiles!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don Haider-Markel::: a KU political science professor::: weighs in on how the rights of transgender Americans are dividing the country. He warns that a backlash may be increasing transphobia and anti-trans violence.  REUTERS.COM Trans rights divides political rivals::: young and old in the United States,2021-08-02 18:20:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It’s even better to Rock Chalk with a flock! We've missed having everyone on campus::: but these summer pics helped take the edge off.  ⬅️📷: Olivia Butler ➡️📷: Angel Ferman,2021-08-02 15:41:16,I Will support your planing although l can:::t help you with something ::: always success. 👍👍👍.,My target to study of doctor in farmacy chemistry KU:::::::::,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
If you can’t tell::: we really::: really::: really miss having students on campus.,2021-07-30 18:30:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A KU faculty member has written a new auditioning guide — the first of its kind to address race and gender issues based on experiences of actors of color in the entertainment industry.  NEWS.KU.EDU Audition techniques for minority actors,2021-07-29 19:11:02,Harlie Delay-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
After a long delay::: the government of Poland will present the Krzyz Walecznych — the Cross of the Brave — to Jaroslaw (Andrzej) Piekalkiewicz::: a 95-year-old KU professor emeritus::: for his role in fighting the Nazis in Poland during World War II.  NEWS.KU.EDU Professor emeritus will be presented Polish award for bravery during Nazi occupation,2021-07-29 17:07:06,Dr. Piekalkiewicz made a huge impact on me in undergrad and grad school. He was one of my Master's thesis advisors::: too. Such a great::: kind man!,He fought the German military? Or he fought against actual Nazi party members? A very big difference.,He was one of my favorite professors during my time at Ku! That is wonderful news!,A great professor::: really enjoyed his classes. And while he was fighting in the Warsaw Uprising::: my father was dropping supplies to them on 18 September 1944.,How wonderful!,Wonderful News!,Universities today must really bum him out being they are just like the nazi's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studying in a loud::: overpriced coffeeshop < studying in the peaceful shade of Marvin Grove.,2021-07-28 17:13:17,I've visited a lot of Division 1 Universities in my day. This park area of about 17 acres is directly adjacent to nearly all of the instructional buildings of this campus of 30:::000. The tower you see houses one of the half dozen foremost campaniles in the U.S. Short concerts during the week are common. There is no heavily traveled street near this place. It is heavenly. 💙,A beautiful campus spot. I probably should have tried studying there more than I did at The Wheel.,Maybe once the temperature drops below 90 🥵,I miss Lawrence and the University campus. Great place!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A long-term rural Colorado health initiative led by a KU alumnus — in collaboration with three KU faculty and 18 KU graduate students — has earned a 2021 American Institute of Architects Regional & Urban Design Award.  NEWS.KU.EDU AIA Regional & Urban Design Award,2021-07-27 20:04:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adrian Melott::: a KU professor emeritus of physics and astronomy::: says it’s time to probe Earth’s history for evidence of ancient supernova strikes — it would provide insights into global changes and a better understanding of the shaping of the solar system.  SCIENCEMAG.ORG Exploding stars may have assaulted ancient Earth,2021-07-27 17:03:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nugget is proof that even smol Jayhawks have big spirit.  📷: Ashleigh Lee graduated from KU in 2014 with a bachelor’s in journalism and mass communications. Today::: she’s nearly finished her master’s in integrated marketing communications. Her loyal corgi::: Nugget::: has supported her every step of the way. Rock Chalk::: Ashleigh and Nugget!,2021-07-26 17:19:04,Jessica Wedel,However::: they can't proofread or spell.,Cutie!!,I had a Corgi named Nugget .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue desert sky? Crimson rocks? No wonder Jayhawks like Anna flock to Sedona ❤️💙  📷: Anna Nicole C. Aniel graduated in 2020 with a master’s in speech-language pathology. Rock Chalk::: Anna! 🧗🏼‍♀️,2021-07-23 18:22:03,FYI. Ray Lancaster from class of 1968 was hiking there this year. 😃,An awesome career awaits you! KU grad SLP here::: Masters degree::: 1988. Congratulations !,🙌 wohooo!,Is dormitory available for international student in KU?,RCJHKU world wide!,Thanks::: KU 💙❤️,Can anna help us get to the big10?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kirk McClure::: a KU professor emeritus of public affairs and administration::: is providing key suggestions to U.S. housing policymakers to ensure that housing is affordable and available to all Americans::: even those with low incomes.  NEWS.KU.EDU Housing expert says key policy changes needed to keep housing affordable::: prevent mass evictions,2021-07-23 16:01:10,This is baffling. Rather than creating a job based economy::: with salaries people can survive on::: the suggestions center on putting more tax dollars in the pockets of property owners? A liveable wage needs to be the norm::: not a stroke of luck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hui “Faye” Xiao::: a KU professor of modern Chinese literature and culture::: is helping to amplify the writings and experiences of the so-called “new workers” in China — those who have migrated from farms to China’s major cities.  NEWS.KU.EDU Giving voice to migrant labor,2021-07-22 15:59:03,Suggest that every professor at KU join for a semester and she how the like living in a country and system like they think is so great.,Chinas case makes clear the best thing any country can do is abolish the elitist university system. Really crazy when you think about it: they modernized to protect themselves from western imperialism yet adopted a medeival European guild model to do it. Irony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK::: but seriously::: Jayhawks make the best of friends.,2021-07-21 16:20:16,Those friends last a very long time too! ❤💙 (30 years and counting),Rock Chalk Babyyyyyy!!!,Why? Because We are Kansas!!,RCJH,Kristin Kay,"Jayhawks make friends and ""3 grâces"" 🙂 Marie-laure Jacquemet & Ingrid Wimart",Liza Kauk Blanc and Renee Schmitt Corn 30+ years and counting!,Kristin Fogler Bellini Cyndi Duerksen Rood Ken Parsley Jay Bee Elizabeth Berry Wendy Doyle Diez Tracy Cross Garrett Becky Grom Beth Weist Zeigler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU linguists have found that adults can quickly begin mentally processing sentence structure like a native speaker — a finding that points to optimism for foreign language instruction in a university setting.  PHYS.ORG Study shows second-language learning can happen quickly,2021-07-21 15:57:00,"I literally do this all the time when I'm teaching young Japanese students English. I always ask myself::: how the hell can I relate this back to the Japanese language? For example::: I help teach new words to kids by teaching them roots::: prefixes and suffixes. However::: I teach it by explaining it as English ""kanji"".  That said::: I'm glad my Alma mater is doing good work! Keep it up KU linguistics!",We are Kansas!!,Sydney Lauren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collecting data on local wildlife — including deer::: coyotes::: and even a bobcat — KU undergraduate researchers took part in the first nationwide mammal survey::: called Snapshot USA. Learn about their discoveries.  NEWS.KU.EDU KU undergraduate researchers document Douglas County wildlife,2021-07-20 15:55:08,Hello friends. We offer academic and research assistance in Nursing and Nursing related sciences::: Pharmacy::: Public Health:::Medicine ::: Anatomy::: Physiology::: Psychology::: and Social Work We help in the following areas: Cases studies Research papers Literature review Weekly discussions and assignments Term Papers. Our team has 10 experienced tutors. If you need assistance contact us through WhatsApp +1 (360) 940-7473 or email elitegroupessay s@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capitol Federal Hall is pure KU: business casual on the outside::: serious business on the inside. School of Business alums::: what was the best major-specific class you took at KU?,2021-07-19 19:16:12,Advanced Taxation from Prof. Allen Ford,Can't remember 50+ years ago-\-\accounting x2 and econ x2.,Could not afford to go so I went to a community college then to a small State operated college.,PGM,Acct 543 with Professor Arpin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ibram X. Kendi::: an award-winning author::: historian::: and antiracist researcher::: will speak this fall at KU on antiracism. Kendi::: the Self Graduate Fellowship’s featured symposium lecturer::: will speak at 3:30 p.m. Oct. 7 at KU’s Lied Center.  NEWS.KU.EDU Ibram X. Kendi will give Self Graduate Fellowship Symposium Lecture,2021-07-19 16:25:16,I guess all these haters in the comments want to cancel him and want censorship after all. 🤔 What happened to the marketplace of ideas and the First Amendment?,If you have ever heard him speak::: he is an intelligent::: well spoken and thoughtful person. I am surprised by the hateful comments.,I’m stunned by those making negative comments about this event and the author. I have to ask::: if you’re posting negative comments::: have you read his book?,Many conservatives speak at KU on a regular basis::: maybe just not at this specific graduate-level fellowship symposium for this year. A guest lecturer for a symposium like this is going to be a leading academic in their field—not some political commentator with lots of opinions. That’s why Kendi was invited.,Bring him::: and let him discuss his ideas. Then bring opposing viewpoints to campus::: and let them discuss their ideas without protest. Dr. Ben Carson comes to mind::: or Ben Shapiro.  Let the opposing viewpoints speak openly and honestly in the marketplace of ideas.  CRT is merely a tool to further the marxist agenda::: using race rather than class::: to divide and conquer. Be honest about that::: and the discussion can evolve more naturally::: without the rancor and ad hominems.,U people need to balance your speakers.. How about featuring conservative Candace Owens??? I have been extremely fortunate or perhaps erudite in my lifetime so am leaving enough to money to other institutions to fund a couple of chairs. The KU Administration is leaving millions on the table for unbalanced political approach to education…,A lecture based on finger pointing. Should be enlightening.,"More accurately should be titled ""how to be a racist bigot & how to get a pass from the racist leftist media??""",I’m embarrassed that my alma mater would pay money to hear the racist vitriol of this fraud. What a joke.,Well that should make the Legislature feel good about sending funds to KU,Rachel !!!,No more donations to KU. This man is an avowed racist who’s goal is racial tension. How will he make money if there is actual racial reconciliation.,There should be no more public money going to The Universities anymore they are no longer places of higher learning,It’s my understanding that he is for CRT and against white peopled adopting black kids. The fact that he thinks a liberal government and an anti racist amendment is needed reflects his socialist core beliefs. As a KU alum who fought for civil rights in the 60’s ::: I know from history and current events that he’s just trying to create more victims who will depend on government and collectivism. Time for KU to become more balanced and provide a platform for conservative speakers. (Regardless of color. ),Man what a disgrace that so many racists are on my alma mater's page talking about something they know nothing about. I think this is WONDERFUL! You people need to broaden your horizons and open your eyes.  #ProudJayhawk #ProudAntiRacist,And they wonder why I don’t donate anymore.,This is so exciting!!!,This is amazing! Maggie Grandsire,If being “anti racist” means discrimination of the whites and Asians::: is it really “anti racism”?!? Sounds to me it’s literally racist to form ANY judgment by race; good or bad.  Maybe professors should find an old-school dictionary for the definition. Maybe they should pose the question as to why everything that’s considered systematically racist is controlled by democrats; not unlike Jim Crow. So find a real history book as well. Hint: Native Americans also held slaves. Why are they exempt from that discussion?!?,What!?? How can I get a ticket??,The 'right' are well named.,Somebody might learn something...,Lindsey Urbatchka why wasn’t this cool of stuff when we were there!?,Why is The University of Kansas publically welcoming a racist::: sexist::: antisemitic bigot to give a lecture?? Promoting and condoning racism has 0 place in a modern society.,Horrible! He is a RACIST! Shame on you for having him speak to further indoctrinating our kids,Disgusting...,White people are racist and the root of all evil::: there saved you the money you would have spent on the ticket,Esme Torres RIP KU lmao they really letting this racist dude there,The man is a bigot and a racist… I am ashamed to be associated in anyway with KU because of this… disgusting…,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The secret to Jayhawks’ high-flying success? We start at the top 😎,2021-07-16 17:59:01,"My grandma said::: ""if you can't say something nice::: don't say anything.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KU’s Spencer Museum of Art currently features a series of five signs that name Native tribes who historically or currently inhabit the land now known as Kansas. The work::: called “Native Host:::” is the KU Common Work of Art for 2021-2022.  NEWS.KU.EDU Spencer Museum announces 2021 KU Common Work of Art,2021-07-16 16:00:57,Would be nice if the article could have included the names of the tribes. I grew up in eastern Kansas but now reside in the NW.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Five KU staff and faculty members are taking on additional roles in diversity::: equity::: inclusion::: and belonging. Their new duties will help make KU more equitable and inclusive::: particularly for underrepresented students::: faculty::: and staff.  NEWS.KU.EDU 5 KU faculty::: staff take on additional DEIB roles,2021-07-15 16:05:08,I imagine they will help make sure GTAs are heard::: equitably paid::: insured::: and never used to replace the dwindling numbers of PhD ers as tenure and permanent opportunities for teaching staff take a back seat to maintaining the 70+K salaries excessive numbers of senior admin are sustaining. EID means zilch or little more than PC Identity Politc and Appearance....i f economic conditions for all staff and students from disadvantaged or loan shark territory are not included. Just sayin,As long as everyone is treated equal on test scores::: student aid::: grade point averages in high school there should not be a problem.,As long as standards are maintained rather than pandering to the DEI 🤬,Why don't you just move part of you campus to Topeka? Topeka and Shawnee County if your look at the demographics is 4 to 5 times more diverse than Lawrence's primarily white population::: with Asians being the second most common race in Lawrence with only 6% of the population.. and other races accounting for less than 5% primarily.  Look at Topeka's demographics and you will be amazed. So just diversify by investing in an already diverse city..,Sad to see this. Marxism is creeping into every where now...,What a stupid waste of time and money. You hire the best qualified person otherwise you are not doing your job and hurting your company,Glad to see this.,How about diversity of thought? That’s what’s missing. Asking simple questions like::: why is the symbol of women’s rights murdering their unborn babies? Why is “my body my choice” not apply to experimental vaccines (EUA)? Does hypocrisy have anything to do with people not believing our government? For example::: Biden is on record saying he would not take the vaccine that Trump rushed through? Government and media have lied about everything::: but now we’re supposed to trust them; has anyone not read “the boy who cried wolf”?!? If climate concerns are so dire::: why is it the same people that fly to luxury resorts::: instead of using conference calls?!?  Just a few for brevity. We see the signs all over that preach love and kindness. How is dehumanizing white people (especially men) kind? How is it okay for neighbors to rat others out::: but that wasn’t the message of San Bernardino et al?  Being an adult means I can disagree with someone::: and still be friends! I guess that’s something not promoted at KU?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beachside or beakside::: Jayhawk Anna Pick knows how to enjoy a relaxing day with a few of her closest Kansas companions.  📷: When she’s not in class earning her degree in marketing and communications::: Anna is earning experience: in the KU Marketing Club::: in the business honors program::: and as Communications Assistant for The University of Kansas College of Liberal Arts and Sciences. And she’s just getting started. Rock Chalk::: Anna!,2021-07-14 21:13:14,I'm An international student and going to apply for fall 22. I have some queries and confusion though I've already visited UK's website several times.  1) As an international student am I eligible for International Excellence Award? What are the criterias?  2) Except International Excellence Award are there any other scholarships which will cover full tuition fees? If so:::would you kindly mention the name and the amount of that scholarship?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
